2019-06-26_15:36:53data_dir: data/
batch_size: 120
win_size: 5
hidden_num: 100
word_dim: 300
num_epochs: 3
grad_clip: 10.00/3354 (epoch 0), train_loss = 9.870, time/batch = 0.194
1/3354 (epoch 0), train_loss = 9.244, time/batch = 0.117
2/3354 (epoch 0), train_loss = 7.881, time/batch = 0.117
3/3354 (epoch 0), train_loss = 8.252, time/batch = 0.115
4/3354 (epoch 0), train_loss = 7.763, time/batch = 0.113
5/3354 (epoch 0), train_loss = 7.023, time/batch = 0.115
6/3354 (epoch 0), train_loss = 6.852, time/batch = 0.113
7/3354 (epoch 0), train_loss = 6.992, time/batch = 0.112
8/3354 (epoch 0), train_loss = 6.594, time/batch = 0.113
9/3354 (epoch 0), train_loss = 6.654, time/batch = 0.116
10/3354 (epoch 0), train_loss = 7.326, time/batch = 0.117
11/3354 (epoch 0), train_loss = 7.046, time/batch = 0.113
12/3354 (epoch 0), train_loss = 6.824, time/batch = 0.115
13/3354 (epoch 0), train_loss = 6.394, time/batch = 0.116
14/3354 (epoch 0), train_loss = 7.054, time/batch = 0.116
15/3354 (epoch 0), train_loss = 7.072, time/batch = 0.113
16/3354 (epoch 0), train_loss = 7.036, time/batch = 0.114
17/3354 (epoch 0), train_loss = 6.672, time/batch = 0.113
18/3354 (epoch 0), train_loss = 6.410, time/batch = 0.115
19/3354 (epoch 0), train_loss = 6.598, time/batch = 0.113
20/3354 (epoch 0), train_loss = 6.069, time/batch = 0.115
21/3354 (epoch 0), train_loss = 6.132, time/batch = 0.118
22/3354 (epoch 0), train_loss = 5.891, time/batch = 0.117
23/3354 (epoch 0), train_loss = 6.663, time/batch = 0.116
24/3354 (epoch 0), train_loss = 6.238, time/batch = 0.117
25/3354 (epoch 0), train_loss = 6.220, time/batch = 0.115
26/3354 (epoch 0), train_loss = 5.851, time/batch = 0.116
27/3354 (epoch 0), train_loss = 6.558, time/batch = 0.117
28/3354 (epoch 0), train_loss = 6.019, time/batch = 0.117
29/3354 (epoch 0), train_loss = 7.289, time/batch = 0.115
30/3354 (epoch 0), train_loss = 6.282, time/batch = 0.115
31/3354 (epoch 0), train_loss = 5.813, time/batch = 0.116
32/3354 (epoch 0), train_loss = 5.517, time/batch = 0.118
33/3354 (epoch 0), train_loss = 6.319, time/batch = 0.113
34/3354 (epoch 0), train_loss = 5.872, time/batch = 0.114
35/3354 (epoch 0), train_loss = 6.208, time/batch = 0.114
36/3354 (epoch 0), train_loss = 6.174, time/batch = 0.116
37/3354 (epoch 0), train_loss = 6.398, time/batch = 0.116
38/3354 (epoch 0), train_loss = 5.168, time/batch = 0.116
39/3354 (epoch 0), train_loss = 6.800, time/batch = 0.117
40/3354 (epoch 0), train_loss = 5.579, time/batch = 0.119
41/3354 (epoch 0), train_loss = 6.276, time/batch = 0.117
42/3354 (epoch 0), train_loss = 5.532, time/batch = 0.117
43/3354 (epoch 0), train_loss = 6.526, time/batch = 0.116
44/3354 (epoch 0), train_loss = 6.070, time/batch = 0.117
45/3354 (epoch 0), train_loss = 5.702, time/batch = 0.116
46/3354 (epoch 0), train_loss = 5.652, time/batch = 0.119
47/3354 (epoch 0), train_loss = 6.074, time/batch = 0.116
48/3354 (epoch 0), train_loss = 5.973, time/batch = 0.118
49/3354 (epoch 0), train_loss = 6.450, time/batch = 0.124
50/3354 (epoch 0), train_loss = 5.704, time/batch = 0.118
51/3354 (epoch 0), train_loss = 6.132, time/batch = 0.117
52/3354 (epoch 0), train_loss = 5.513, time/batch = 0.119
53/3354 (epoch 0), train_loss = 5.821, time/batch = 0.119
54/3354 (epoch 0), train_loss = 5.468, time/batch = 0.117
55/3354 (epoch 0), train_loss = 7.473, time/batch = 0.115
56/3354 (epoch 0), train_loss = 6.109, time/batch = 0.119
57/3354 (epoch 0), train_loss = 6.332, time/batch = 0.120
58/3354 (epoch 0), train_loss = 5.780, time/batch = 0.119
59/3354 (epoch 0), train_loss = 5.693, time/batch = 0.117
60/3354 (epoch 0), train_loss = 5.911, time/batch = 0.115
61/3354 (epoch 0), train_loss = 5.263, time/batch = 0.116
62/3354 (epoch 0), train_loss = 5.982, time/batch = 0.118
63/3354 (epoch 0), train_loss = 5.590, time/batch = 0.116
64/3354 (epoch 0), train_loss = 5.738, time/batch = 0.116
65/3354 (epoch 0), train_loss = 5.573, time/batch = 0.115
66/3354 (epoch 0), train_loss = 5.689, time/batch = 0.117
67/3354 (epoch 0), train_loss = 5.725, time/batch = 0.118
68/3354 (epoch 0), train_loss = 6.368, time/batch = 0.117
69/3354 (epoch 0), train_loss = 5.739, time/batch = 0.117
70/3354 (epoch 0), train_loss = 6.407, time/batch = 0.123
71/3354 (epoch 0), train_loss = 5.859, time/batch = 0.115
72/3354 (epoch 0), train_loss = 6.175, time/batch = 0.117
73/3354 (epoch 0), train_loss = 6.069, time/batch = 0.117
74/3354 (epoch 0), train_loss = 6.585, time/batch = 0.120
75/3354 (epoch 0), train_loss = 6.051, time/batch = 0.116
76/3354 (epoch 0), train_loss = 6.452, time/batch = 0.115
77/3354 (epoch 0), train_loss = 6.207, time/batch = 0.116
78/3354 (epoch 0), train_loss = 6.008, time/batch = 0.118
79/3354 (epoch 0), train_loss = 5.775, time/batch = 0.117
80/3354 (epoch 0), train_loss = 6.002, time/batch = 0.117
81/3354 (epoch 0), train_loss = 5.962, time/batch = 0.116
82/3354 (epoch 0), train_loss = 6.010, time/batch = 0.117
83/3354 (epoch 0), train_loss = 5.857, time/batch = 0.116
84/3354 (epoch 0), train_loss = 5.379, time/batch = 0.116
85/3354 (epoch 0), train_loss = 5.877, time/batch = 0.116
86/3354 (epoch 0), train_loss = 6.066, time/batch = 0.116
87/3354 (epoch 0), train_loss = 5.826, time/batch = 0.118
88/3354 (epoch 0), train_loss = 5.607, time/batch = 0.115
89/3354 (epoch 0), train_loss = 5.946, time/batch = 0.118
90/3354 (epoch 0), train_loss = 5.579, time/batch = 0.116
91/3354 (epoch 0), train_loss = 6.220, time/batch = 0.122
92/3354 (epoch 0), train_loss = 5.745, time/batch = 0.118
93/3354 (epoch 0), train_loss = 5.868, time/batch = 0.115
